Okyanus BAYRAMPAÞA;;Top;Raporlar
Dahili;Adý Soyadý;Adet;Süre;Tutar
1120;;171;01:09:26;34,51
1110;;40;00:07:25;4,76
1590;;37;00:45:52;19,04
1360;;32;00:17:39;7,99
1300;;19;00:22:35;8,50
1380;;17;00:13:42;5,95
1410;;17;00:11:58;5,10
1550;;12;00:03:45;1,87
1370;;11;00:08:13;3,74
1580;;11;00:13:43;5,78
1220;;10;00:09:01;2,38
1600;;5;00:02:07;1,19
1130;;5;00:08:03;2,21
1140;;4;00:02:32;0,85
1350;;4;00:02:46;1,19
1160;;3;00:01:11;0,68
1570;;2;00:03:16;0,68
1500;;2;00:00:27;0,34
1610;;2;00:00:23;0,17
1150;;2;00:02:40;1,19
1420;;1;00:04:34;1,87
1450;;1;00:01:29;0,34
1540;;1;00:00:21;0,17
1180;;1;00:02:01;0,85
Toplam Görüþme Adedi :;410
Toplam Süre :;4
Toplam Tutar :;111,35
